"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","Antenna","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"BT1","1","Battery_Cell","","","","Footprints:AKYGA_LP403035_v2","~"
"Cant1","1","1n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"Cb1","1","10n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"Cb2,Cb3,Cb6,Cs1,Cs2,Cs7","6","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"Cb4,Cb5,Ccom1","3","2u2","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"Cc1,Cc2","2","47u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"Cin1,Cout1","2","4u7","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"Cin2,Cin3,Cin4,Cin5,Cout2,Cs3,Cs4,Cs6","8","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"Cpmp1,Cpmp2","2","1u/10V","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"Cs5","1","22n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"Cxtl1,Cxtl2","2","22p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1,D2","2","LED","","","","LED_SMD:LED_0603_1608Metric","~"
"Dant1","1","PGB1010603MR","","","","Footprints:IND_PGB_0603_LTF","https://www.littelfuse.com/assetdocs/pulseguard-esd-suppressors-pgb1-datasheet?assetguid=8a337998-d54d-466b-be4e-dc5bcd1f9321"
"FB1,FB2","2","BLM18BD252SN1D","","","","Footprints:BLM18SP221SN1B","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb"
"IC1","1","MCP73831T-2ACI_OT","","","","Footprints:SOT95P270X145-5N","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
"IC2","1","SI4703-C19-GM","","","","Footprints:SI4703C19GM","https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/Si4702-03-C19.pdf"
"IC3","1","TPA741DR","","","","Footprints:SOIC127P600X175-8N","http://www.ti.com/lit/gpn/TPA741"
"IC4","1","TPA6111A2DR","","","","Footprints:SOIC127P600X175-8N","http://www.ti.com/lit/gpn/tpa6111a2"
"J1","1","UJC-HP2-3-SMT-TR","","","","Footprints:UJCHP23SMTTR","https://www.sameskydevices.com/product/resource/UJC-HP2-3-SMT-TR.pdf"
"J2","1","Conn_01x06_Pin","","","","Connector_PinHeader_1.27mm:PinHeader_1x06_P1.27mm_Vertical","~"
"J3","1","SJ2-35853A-SMT-TR","","","","Footprints:SJ235853ASMTTR","https://www.sameskydevices.com/product/resource/SJ2-35853A-SMT-TR.pdf"
"Lant1","1","270n","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"LS1","1","Speaker","","","","Audio_Module:CDS-25148-L100","~"
"OLED1","1","DEP128064C1","","","","Footprints:DEP128064C1_FmRadio_application","https://www.tme.eu/Document/319b92d4518265331a952b48027c8fbf/DEP128064C1-W.pdf"
"PS1","1","LDK120M33R","","","","Footprints:SOT95P280X145-5N","https://www.st.com/resource/en/datasheet/ldk120.pdf"
"Rcc1,Rcc2","2","5k1","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Rclk1,Rsda1","2","4k7","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Rd1","1","330k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Rd2,Rrst0,Rrst1,Rrst2,Rsd1,Rsd2,Rsen1","7","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Rfb1,Rfb2,Rfb3,Rin2,Rin3","5","20k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Rin1","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Rled1","1","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Rled2","1","1k","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"Rprg1","1","5k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Rref1","1","150k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"S1","1","PCM12SMTBR","","","","Footprints:PCM12SMTBR","https://www.ckswitches.com/media/1424/pcm.pdf"
"S2,S3,S4,S5","4","PTS647SM70SMTR2_LFS","","","","Footprints:PTS647SK70SMTR2LFS","https://www.ckswitches.com/media/2567/pts647.pdf"
"U1","1","ATmega328P-A","","","","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"Y1","1","ABS06N-32.768kHz-T","","","","Footprints:ABS06N32768kHzT","https://abracon.com/datasheets/ABS06N.pdf"
