Designator,Footprint,Quantity,Value,LCSC Part #
AE1,TestPoint_Pad_2.0x2.0mm,1,Antenna,
BT1,AKYGA_LP403035_v2,1,Battery_Cell,
CANT1,0805,1,1n,
CB1,0805,1,10n,
"CB2, CB3, CB6, CS1, CS2, CS7",0805,6,100n,
"CB4, CB5, CCOM1",0805,3,2u2,
"CC1, CC2",1206,2,47u,
"CIN1, COUT1",0805,2,4u7,
"CIN2, CIN3, CIN4, CIN5, COUT2, CS3, CS4, CS6",0805,8,1u,
"CPMP1, CPMP2",0805,2,1u/10V,
CS5,0805,1,22n,
"CXTL1, CXTL2",0805,2,22p,
"D1, D2",0603,2,LED,
DANT1,IND_PGB_0603_LTF,1,PGB1010603MR,
"FB1, FB2",BLM18SP221SN1B,2,BLM18BD252SN1D,
IC1,SOT95P270X145-5N,1,MCP73831T-2ACI_OT,
IC2,SI4703C19GM,1,SI4703-C19-GM,
IC3,SOIC127P600X175-8N,1,TPA741DR,
IC4,SOIC127P600X175-8N,1,TPA6111A2DR,
J1,UJCHP23SMTTR,1,UJC-HP2-3-SMT-TR,
J2,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06_Pin,
J3,SJ235853ASMTTR,1,SJ2-35853A-SMT-TR,
LANT1,0603,1,270n,
LANT2,0805,1,350n,
LS1,CDS-25148-L100,1,Speaker,
OLED1,DEP128064C1_FmRadio_application,1,DEP128064C1,
PS1,SOT95P280X145-5N,1,LDK120M33R,
"RCC1, RCC2",0805,2,5k1,
"RCLK1, RSDA1",0805,2,4k7,
RD1,0805,1,330k,
"RD2, RRST0, RRST1, RRST2, RSD1, RSD2, RSEN1",0805,7,100k,
"RFB1, RFB2, RFB3, RIN2, RIN3",0805,5,20k,
RIN1,0805,1,10k,
"RLED1, RLED2",0805,2,1k,
RPRG1,0805,1,5k,
RREF1,0805,1,150k,
S1,PCM12SMTBR,1,PCM12SMTBR,
"S2, S3, S4, S5",PTS647SK70SMTR2LFS,4,PTS647SM70SMTR2_LFS,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
Y1,ABS06N32768kHzT,1,ABS06N-32.768kHz-T,
